"Categories of organizations in Makerspace, in the Iowa City",https://www.themugsusa.com/catalog/iowa/iowa-city/makerspace,"Companies in the Makerspace, in the Iowa City, Iowa"
How To Fund Your Makerspace With Grants,https://1stmakerspace.com/grants?srsltid=AfmBOoo5nvQjt5sk-59Utb8UExoeWyKw2X63r-lQZnpvPpebdnZQk_GV,Overview of Makerspace Grants
Creation Studio,https://www.bettendorflibrary.com/create,
Makerspace Mondays – Turning the Pages,https://iowalibrary.blog/programs/youth-services/soar-saturdays/,Makerspace Mondays are designed to get your creative juices flowing while inviting 
Makerspace: Cricut Station,https://ankeny.librarycalendar.com/reserve-room/cricut-station,"Ankeny, IA 50023"
Makerspace,https://campfosterymca.com/makerspace/,"A part of the YMCA of the Okobojis · 1769 260th Ave, Spirit Lake, IA 51360 "
Joni Ernst visits Washington Makerspace,https://www.southeastiowaunion.com/news/joni-ernst-visits-washington-makerspace/,"Aug 5, 2024 — 2, visiting the Washington Public Library's Makerspace on a day packed with stops around Southeast Iowa"
The Hive | Waterloo Public Library,https://www.waterloopubliclibrary.org/learn/the-hive,"The Hive is our makerspace, where you are welcome to use the room, tools "
"Stew Makerspace, 927 Broad St, Grinnell, IA 50112, US",https://www.mapquest.com/us/iowa/stew-makerspace-752514164,"Get more information for Stew Makerspace in Grinnell, IA"
A Small (but Mighty) Makerspace,https://programminglibrarian.org/articles/small-mighty-makerspace,"Griswold Public Library, located in a small town of about 1,000 in southwestern Iowa, is proof"
Maker Space: Beaded Snowflake – Dec 12,https://www.cityofcarroll.com/maker-space-quilled-tree-sept-12/,Maker Space: Beaded Snowflake – Dec 12
Makerspace Cart,https://www.sibley.lib.ia.us/services/makerspace-cart,
MakerSpace Sioux City,https://www.volunteersiouxland.org/agency/detail/?agency_id=83132,MakerSpace Sioux City
MakerSpaces in Libraries,https://www.urbanlibraries.org/resources/makerspaces-in-libraries,
What is a Makerspace? Is it a Hackerspace or ...,https://www.makerspaces.com/what-is-a-makerspace/,"A makerspace is a collaborative work space inside a school, library or public/private facility for making, learning, exploring and sharing"
